StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2022/09/05 15:16:03.677891,0.172498,tcp,54.149.99.181,55274,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:16:14.388422,0.116021,tcp,91.240.118.71,52931,   ->,137.184.18.211,25039,SR_RA,0,0,3,166,112,2
2022/09/05 15:16:16.439312,0.178346,tcp,40.115.49.158,64044,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:16:24.290875,15.066082,tcp,162.218.65.254,21170,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:16:28.532946,0.175521,tcp,54.149.99.181,61700,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:16:34.284241,0.139614,tcp,5.188.206.134,50467,   ->,137.184.18.211,32594,SR_RA,0,0,3,166,112,2
2022/09/05 15:16:34.705285,0.000964,udp,137.184.18.211,48032,  <->,67.207.67.2,53,CON,0,0,2,178,81,1
2022/09/05 15:16:34.705702,0.000692,udp,137.184.18.211,42147,  <->,67.207.67.2,53,CON,0,0,2,190,81,1
2022/09/05 15:16:34.709098,2605.291016,tcp,137.184.18.211,53162,   ->,51.89.217.80,9999,SPA_SPA,0,0,423,73993,36420,245
2022/09/05 15:16:35.018097,0.000000,tcp,88.152.9.188,32072,   ?>,137.184.18.211,18080,RA_,0,,1,56,56,1
2022/09/05 15:16:35.248413,0.000051,tcp,104.248.172.218,61953,   ->,137.184.18.211,8001,S_RA,0,0,2,110,56,1
2022/09/05 15:16:36.727236,0.011102,tcp,137.184.18.211,38014,   ->,169.254.169.254,80,FSPA_FSPA,0,0,10,2113,1548,5
2022/09/05 15:16:38.709682,0.229102,tcp,40.115.49.158,52668,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:16:39.317909,15.299042,tcp,91.198.115.2,63014,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:16:42.453118,0.081298,tcp,92.63.197.169,47138,   ->,137.184.18.211,6268,SR_RA,0,0,3,166,112,2
2022/09/05 15:16:50.059380,0.000055,tcp,42.3.7.90,23442,   ->,137.184.18.211,2323,S_RA,0,0,2,110,56,1
2022/09/05 15:16:51.293683,0.143651,tcp,5.188.206.66,57941,   ->,137.184.18.211,8153,SR_RA,0,0,3,166,112,2
2022/09/05 15:16:54.202345,0.349694,tcp,54.149.99.181,51749,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:16:54.575695,15.289282,tcp,91.198.115.3,52936,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:16:55.379167,5.125795,tcp,185.95.16.5,35632,   ->,137.184.18.211,18080,FSPA_SA,0,0,7,773,567,4
