StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
16:35:50.186970,          ,man,0,0,,2144,1,632,14094156,CON
00:00:00.000000,          ,,(null),,,(null),,,
16:36:50.174913,          ,man,0,0,,2146,1,595,14145060,CON
16:37:50.178928,          ,man,0,0,,2133,1,508,14174284,CON
16:38:50.159656,          ,man,0,0,,2127,1,569,14211788,CON
16:39:50.178856,          ,man,0,0,,2125,1,584,14250268,CON
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
