StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2022/09/05 16:00:11.481806,60.467167,tcp,162.218.65.67,57853,   ->,137.184.18.211,18080,FSPA_SA,0,0,61,4904,2916,31
2022/09/05 16:00:15.643946,0.000081,udp,216.218.206.73,47679,   ->,137.184.18.211,17,REQ,0,,1,56,56,1
2022/09/05 16:00:15.644027,0.000000,icmp,137.184.18.211,0x0303,   ->,216.218.206.73,0x1100,URP,192,,1,71,71,1
2022/09/05 16:00:29.118374,15.278595,tcp,91.198.115.157,22932,   ->,137.184.18.211,18080,FSPA_SA,0,0,36,2998,1788,19
2022/09/05 16:00:30.039096,0.069937,udp,137.184.18.211,54477,  <->,185.125.190.58,123,CON,16,0,2,180,90,1
2022/09/05 16:00:30.486345,0.172410,tcp,40.115.49.158,52390,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 16:00:31.195108,0.088303,tcp,92.63.197.172,47151,   ->,137.184.18.211,52749,SR_RA,0,0,3,166,112,2
2022/09/05 16:00:35.793994,0.184016,tcp,54.149.99.181,52255,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 16:00:36.579351,0.127822,tcp,5.188.206.38,52998,   ->,137.184.18.211,4135,SR_RA,0,0,3,166,112,2
2022/09/05 16:00:37.091601,0.011076,tcp,137.184.18.211,45460,   ->,169.254.169.254,80,FSPA_FSPA,0,0,10,2102,1537,5
2022/09/05 16:00:44.358371,15.190585,tcp,91.198.115.158,61937,   ->,137.184.18.211,18080,FSPA_SA,0,0,27,2247,1345,14
2022/09/05 16:00:45.992012,0.131450,tcp,5.188.206.134,52343,   ->,137.184.18.211,51297,SR_RA,0,0,3,166,112,2
2022/09/05 16:00:59.504182,15.976780,tcp,91.198.115.159,8373,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 16:01:00.851902,0.163231,tcp,54.149.99.181,58676,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 16:01:05.125613,0.135502,tcp,45.143.200.102,43154,   ->,137.184.18.211,3657,SR_RA,0,0,3,166,112,2
2022/09/05 16:01:11.906358,60.130604,tcp,162.218.65.67,25760,   ->,137.184.18.211,18080,FSPA_SA,0,0,61,4916,2916,31
2022/09/05 16:01:15.437248,15.279735,tcp,91.198.115.160,18324,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 16:01:16.766407,0.287325,tcp,40.115.49.158,61279,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 16:01:19.664587,5.204368,tcp,188.93.90.3,59792,   ->,137.184.18.211,18080,FSPA_SA,0,0,7,682,508,4
2022/09/05 16:01:22.207079,0.000049,tcp,114.238.206.194,37998,   ->,137.184.18.211,2323,S_RA,0,0,2,110,56,1
2022/09/05 16:01:25.837252,0.129907,tcp,176.111.174.98,42127,   ->,137.184.18.211,5054,SR_RA,0,0,3,166,112,2
2022/09/05 16:01:26.564703,0.168107,tcp,54.149.99.181,65101,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
